precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Jenkins_total,Zappala_total,WRITE-IN_total,precinct_total,Jenkins_pct,Zappala_pct,WRITE-IN_pct
PITTSBURGH WARD 12 DIST 8,40.4566,-79.90535,Jenkins,17,75.8,25,7,1,33,75.8,21.2,3.0
PITTSBURGH WARD 12 DIST 9,40.460750000000004,-79.90365,Jenkins,26,74.1,40,14,0,54,74.1,25.9,0.0
PITTSBURGH WRD 12 DIST 10,40.46725000000001,-79.90480000000001,Jenkins,41,72.5,66,25,0,91,72.5,27.5,0.0
PITTSBURGH WRD 12 DIST 11,40.470800000000004,-79.90255000000002,Jenkins,47,78.3,65,18,0,83,78.3,21.7,0.0
PITTSBURGH WRD 12 DIST 12,40.4807,-79.89610000000002,Jenkins,50,73.6,78,28,0,106,73.6,26.4,0.0
PITTSBURGH WRD 12 DIST 13,40.468450000000004,-79.8921,Jenkins,37,71.8,61,24,0,85,71.8,28.2,0.0
PITTSBURGH WRD 12 DIST 14,40.466950000000004,-79.89925000000001,Jenkins,37,91.1,41,4,0,45,91.1,8.9,0.0
PITTSBURGH WRD 12 DIST 15,40.464600000000004,-79.89330000000001,Jenkins,102,86.4,121,19,0,140,86.4,13.6,0.0
PITTSBURGH WRD 12 DIST 16,40.47280000000001,-79.8906,Jenkins,43,75.3,64,21,0,85,75.3,24.7,0.0
PITTSBURGH WARD 13 DIST 1,40.455400000000004,-79.89985000000001,Jenkins,33,74.6,50,17,0,67,74.6,25.4,0.0
PITTSBURGH WARD 13 DIST 2,40.45845,-79.89845,Jenkins,35,74.0,54,19,0,73,74.0,26.0,0.0
PITTSBURGH WARD 13 DIST 3,40.46065,-79.89755,Jenkins,23,69.5,41,18,0,59,69.5,30.5,0.0
PITTSBURGH WARD 13 DIST 4,40.46300000000001,-79.89710000000001,Jenkins,27,80.0,36,9,0,45,80.0,20.0,0.0
PITTSBURGH WARD 13 DIST 5,40.46065,-79.89185,Jenkins,12,63.0,29,17,0,46,63.0,37.0,0.0
PITTSBURGH WARD 13 DIST 6,40.45835,-79.89170000000001,Jenkins,48,80.0,64,16,0,80,80.0,20.0,0.0
PITTSBURGH WARD 13 DIST 7,40.4567,-79.89415,Jenkins,37,75.3,55,18,0,73,75.3,24.7,0.0
PITTSBURGH WARD 13 DIST 8,40.4529,-79.89565000000002,Jenkins,23,72.5,37,14,0,51,72.5,27.5,0.0
PITTSBURGH WARD 13 DIST 9,40.4553,-79.89025000000001,Jenkins,9,62.9,22,13,0,35,62.9,37.1,0.0
PITTSBURGH WRD 13 DIST 10,40.452000000000005,-79.89245,Jenkins,14,70.6,24,10,0,34,70.6,29.4,0.0
PITTSBURGH WRD 13 DIST 11,40.457750000000004,-79.88650000000001,Jenkins,25,80.5,33,8,0,41,80.5,19.5,0.0
PITTSBURGH WRD 13 DIST 12,40.45205,-79.88275000000002,Jenkins,37,74.7,56,18,1,75,74.7,24.0,1.3
PITTSBURGH WRD 13 DIST 13,40.45230000000001,-79.88730000000001,Jenkins,34,90.5,38,4,0,42,90.5,9.5,0.0
PITTSBURGH WRD 13 DIST 14,40.44915,-79.8876,Jenkins,20,75.0,30,10,0,40,75.0,25.0,0.0
PITTSBURGH WRD 13 DIST 15,40.457550000000005,-79.88130000000001,Jenkins,76,92.2,83,7,0,90,92.2,7.8,0.0
PITTSBURGH WRD 13 DIST 16,40.45675,-79.8776,Jenkins,37,82.5,47,10,0,57,82.5,17.5,0.0
PITTSBURGH WRD 13 DIST 17,40.45685,-79.8725,Jenkins,53,77.9,74,21,0,95,77.9,22.1,0.0
PITTSBURGH WRD 13 DIST 18,40.4547,-79.86970000000001,Jenkins,11,92.3,12,1,0,13,92.3,7.7,0.0
PITTSBURGH WRD 13 DIST 19,40.451350000000005,-79.87265000000001,Jenkins,74,74.7,112,35,3,150,74.7,23.3,2.0
PITTSBURGH WARD 14 DIST 1,40.446850000000005,-79.93395000000001,Jenkins,9,56.7,38,29,0,67,56.7,43.3,0.0
PITTSBURGH WARD 14 DIST 2,40.44585000000001,-79.94225,Zappala,22,66.7,21,44,1,66,31.8,66.7,1.5
PITTSBURGH WARD 14 DIST 3,40.4459,-79.92695,Jenkins,19,55.9,90,71,0,161,55.9,44.1,0.0
PITTSBURGH WARD 14 DIST 4,40.4405,-79.92545000000001,Jenkins,44,60.3,129,85,0,214,60.3,39.7,0.0
PITTSBURGH WARD 14 DIST 5,40.44145,-79.93105,Jenkins,29,58.7,98,68,1,167,58.7,40.7,0.6
PITTSBURGH WARD 14 DIST 6,40.4504,-79.92490000000001,Jenkins,12,58.1,43,31,0,74,58.1,41.9,0.0
PITTSBURGH WARD 14 DIST 7,40.44175,-79.94165000000001,Jenkins,6,54.3,38,32,0,70,54.3,45.7,0.0
PITTSBURGH WARD 14 DIST 8,40.44225,-79.9346,Zappala,10,53.5,67,77,0,144,46.5,53.5,0.0
PITTSBURGH WARD 14 DIST 9,40.448750000000004,-79.91810000000001,Jenkins,1,50.2,112,111,0,223,50.2,49.8,0.0
PITTSBURGH WRD 14 DIST 10,40.45140000000001,-79.91205000000001,Jenkins,4,51.1,90,86,0,176,51.1,48.9,0.0
PITTSBURGH WRD 14 DIST 11,40.4469,-79.91385,Jenkins,39,59.6,121,82,0,203,59.6,40.4,0.0
PITTSBURGH WRD 14 DIST 12,40.454100000000004,-79.9077,Jenkins,85,78.5,117,31,1,149,78.5,20.8,0.7
PITTSBURGH WRD 14 DIST 13,40.45185000000001,-79.90350000000001,Jenkins,144,81.9,185,41,0,226,81.9,18.1,0.0
PITTSBURGH WRD 14 DIST 14,40.448550000000004,-79.89920000000001,Jenkins,68,66.2,139,70,1,210,66.2,33.3,0.5
PITTSBURGH WRD 14 DIST 15,40.4446,-79.89765,Jenkins,101,77.9,141,40,0,181,77.9,22.1,0.0
