muni_name,muni_center_lat,muni_center_lon,pctdiff,cand_towards,19da_Cand1_pct,19da_Cand2_pct,19da_Write-in_pct,23da_Cand1_pct,23da_Cand2_pct,23da_Write-in_pct
KENNEDY,40.4767750958,-80.1028319549,27.35,Dugan,14.8,85.2,0,37.9,61.9,0.2
KILBUCK,40.5203521211,-80.0983246821,7.53,Dugan,46.9,53.1,0,50.9,49.1,0
LEET,40.5740266866,-80.2037857716,45.42,Dugan,28,72,0,60.3,39.3,0.4
LEETSDALE,40.565643399,-80.2144062328,34.24,Dugan,28.7,70.1,1.1,53.9,46.1,0
LIBERTY,40.3243177734,-79.8590470355,28.67,Dugan,15.9,83.7,0.3,40.3,59.7,0
LINCOLN,40.299484734,-79.855457382,24,Dugan,20,80,0,39.2,60.8,0
MARSHALL,40.6452740897,-80.110019364,39.97,Dugan,31.7,68.3,0,59,41,0
MCCANDLESS,40.5836006983,-80.0283138889,35.98,Dugan,29.2,70.6,0.1,54.7,45.2,0.1
MCDONALD,40.3715903128,-80.2269760957,61.37,Dugan,13.8,86.2,0,66.7,33.3,0
MCKEESPORT,40.341876154,-79.8440020679,7.84,Dugan,42.3,57.4,0.3,47,52.9,0.1
MCKEES ROCKS,40.4687652366,-80.0630458872,28.35,Dugan,36.5,63.5,0,54,45.5,0.5
MILLVALE,40.4817384012,-79.973603732,24.25,Dugan,43.5,56.5,0,57.2,42.8,0
MONROEVILLE,40.4262399041,-79.7605272515,8.11,Dugan,46.8,53,0.2,51.2,48.7,0.1
MOON,40.5081596691,-80.2073380906,52.57,Dugan,25.8,74,0.3,64.7,35.1,0.2
MOUNT LEBANON,40.3752498222,-80.0494413347,39.58,Dugan,37.4,62.4,0.2,62.2,37.7,0.1
MOUNT OLIVER,40.4112805537,-79.9856420425,14.54,Dugan,43.1,56.4,0.5,51.4,48.2,0.4
MUNHALL,40.3935914898,-79.9004945306,28.68,Dugan,32.8,66.6,0.6,52.2,47.5,0.2
NEVILLE,40.5063507402,-80.1115003575,42.7,Dugan,18.5,81.5,0,53.3,46.7,0
NORTH BRADDOCK,40.4022728227,-79.8533371116,24.27,Zappala,62.2,37.5,0.4,53,46.6,0.4
NORTH FAYETTE,40.4203757047,-80.2245079685,35.81,Dugan,28.8,71.2,0,54.2,45.7,0.1
NORTH VERSAILLES,40.3784346571,-79.8084677048,11.56,Dugan,34.4,64.9,0.7,42.5,57.4,0.2
