precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,precinct_total,Dugan_pct,Zappala_pct,Write-in_pct
Ross Ward 9 Dist 1,40.54865,-79.994,Zappala,18,55.9,67,85,0,152,44.1,55.9,0.0
Ross Ward 9 Dist 2,40.5505,-80.0335,Zappala,2,50.6,81,83,0,164,49.4,50.6,0.0
Ross Ward 9 Dist 3,40.551050000000004,-80.00930000000001,Zappala,7,52.3,74,81,0,155,47.7,52.3,0.0
Rosslyn Farms,40.422850000000004,-80.0871,Dugan,16,58.2,57,41,0,98,58.2,41.8,0.0
Scott Ward 1 Dist 1,40.39715,-80.09345000000002,Zappala,7,54.7,34,41,0,75,45.3,54.7,0.0
Scott Ward 1 Dist 2,40.39875000000001,-80.08905000000001,Zappala,6,53.8,36,42,0,78,46.2,53.8,0.0
Scott Ward 2 Dist 1,40.38815,-80.07520000000001,Zappala,12,55.8,46,58,0,104,44.2,55.8,0.0
Scott Ward 2 Dist 2,40.384550000000004,-80.0797,Zappala,22,57.7,60,82,0,142,42.3,57.7,0.0
Scott Ward 3 Dist 1,40.36925000000001,-80.09305,Dugan,6,56.3,27,21,0,48,56.3,43.8,0.0
Scott Ward 3 Dist 2,40.368750000000006,-80.08955,Zappala,16,56.8,51,67,0,118,43.2,56.8,0.0
Scott Ward 4 Dist 1,40.3708,-80.0823,Zappala,16,54.8,75,91,0,166,45.2,54.8,0.0
Scott Ward 4 Dist 2,40.3656,-80.0798,Zappala,27,60.8,49,76,0,125,39.2,60.8,0.0
Scott Ward 5 Dist 1,40.3888,-80.087,Zappala,3,51.6,44,47,0,91,48.4,51.6,0.0
Scott Ward 5 Dist 2,40.395300000000006,-80.07495,Zappala,50,65.8,54,104,0,158,34.2,65.8,0.0
Scott Ward 6 Dist 1,40.40050000000001,-80.06185,Dugan,20,59.4,63,43,0,106,59.4,40.6,0.0
Scott Ward 6 Dist 2,40.409200000000006,-80.07055,Zappala,5,51.5,79,84,0,163,48.5,51.5,0.0
Scott Ward 7 Dist 1,40.3951,-80.06045,Zappala,14,53.7,87,101,0,188,46.3,53.7,0.0
Scott Ward 7 Dist 2,40.39645,-80.07065,Zappala,7,52.3,74,81,0,155,47.7,52.3,0.0
Scott Ward 8 Dist 1,40.38015,-80.07475,Zappala,9,54.5,45,55,1,101,44.6,54.5,1.0
Scott Ward 8 Dist 2,40.3776,-80.08225000000002,Dugan,2,50.4,113,111,0,224,50.4,49.6,0.0
Scott Ward 9 Dist 1,40.401700000000005,-80.05535,Zappala,8,59.5,17,25,0,42,40.5,59.5,0.0
Scott Ward 9 Dist 2,40.39975,-80.05925,Zappala,22,69.0,18,40,0,58,31.0,69.0,0.0
Sewickley Ward 1,40.5416,-80.16905,Dugan,81,72.9,129,48,0,177,72.9,27.1,0.0
Sewickley Ward 2 Dist 1,40.54545,-80.18020000000001,Dugan,35,68.8,64,29,0,93,68.8,31.2,0.0
Sewickley Ward 2 Dist 2,40.540850000000006,-80.18725,Dugan,39,66.4,79,40,0,119,66.4,33.6,0.0
Sewickley Ward 3,40.53620000000001,-80.18520000000001,Dugan,75,69.6,133,58,0,191,69.6,30.4,0.0
Sewickley Hts,40.5604,-80.15235000000001,Dugan,18,61.5,48,30,0,78,61.5,38.5,0.0
Sewickley Hills,40.562250000000006,-80.13285,Dugan,9,54.2,58,49,0,107,54.2,45.8,0.0
Shaler Ward 1 Dist 1,40.49625,-79.9594,Zappala,47,71.2,32,79,0,111,28.8,71.2,0.0
Shaler Ward 1 Dist 2,40.4849,-79.9621,Zappala,8,54.3,42,50,0,92,45.7,54.3,0.0
Shaler Ward 1 Dist 3,40.49815,-79.95455000000001,Zappala,22,61.7,36,58,0,94,38.3,61.7,0.0
Shaler Ward 1 Dist 4,40.496750000000006,-79.96975,Zappala,27,58.6,65,92,0,157,41.4,58.6,0.0
Shaler Ward 1 Dist 5,40.489850000000004,-79.96530000000001,Zappala,30,63.9,39,69,0,108,36.1,63.9,0.0
Shaler Ward 2 Dist 1,40.51140000000001,-79.98095,Zappala,44,61.6,73,117,0,190,38.4,61.6,0.0
Shaler Ward 2 Dist 2,40.51195,-79.97705,Zappala,5,54.4,26,31,0,57,45.6,54.4,0.0
Shaler Ward 2 Dist 3,40.498850000000004,-79.9788,Zappala,4,51.8,53,58,1,112,47.3,51.8,0.9
Shaler Ward 2 Dist 4,40.51140000000001,-79.96470000000001,Zappala,32,61.6,53,85,0,138,38.4,61.6,0.0
Shaler Ward 2 Dist 5,40.50845,-79.95580000000001,Zappala,18,63.2,25,43,0,68,36.8,63.2,0.0
Shaler Ward 3 Dist 1,40.53705,-79.94365,Zappala,42,65.9,45,87,0,132,34.1,65.9,0.0
Shaler Ward 3 Dist 2,40.54525,-79.9426,Zappala,27,60.6,50,77,0,127,39.4,60.6,0.0
Shaler Ward 3 Dist 3,40.54905,-79.95060000000001,Zappala,33,66.7,33,66,0,99,33.3,66.7,0.0
Shaler Ward 3 Dist 4,40.54050000000001,-79.95875000000001,Zappala,24,58.2,60,85,1,146,41.1,58.2,0.7
