precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,precinct_total,Dugan_pct,Zappala_pct,Write-in_pct
South Park Dist 11,40.285650000000004,-80.01705000000001,Dugan,4,52.7,39,35,0,74,52.7,47.3,0.0
South Park Dist 12,40.29845,-80.01965000000001,Zappala,24,60.7,44,68,0,112,39.3,60.7,0.0
South Park Dist 13,40.27975000000001,-79.97080000000001,Zappala,13,54.1,73,86,0,159,45.9,54.1,0.0
S Versailles,40.3064,-79.7955,Zappala,2,53.6,13,15,0,28,46.4,53.6,0.0
Springdale Br Dist 1,40.54130000000001,-79.77265,Zappala,53,70.5,38,91,0,129,29.5,70.5,0.0
Springdale Br Dist 2,40.5458,-79.78775,Zappala,55,73.5,31,86,0,117,26.5,73.5,0.0
Springdale Br Dist 3,40.53765,-79.787,Zappala,26,62.7,38,64,0,102,37.3,62.7,0.0
Springdale Br Dist 4,40.54225,-79.78745,Zappala,19,61.4,32,51,0,83,38.6,61.4,0.0
Springdale Twp,40.553450000000005,-79.7875,Zappala,81,66.5,82,163,0,245,33.5,66.5,0.0
Stowe Ward 1,40.4735,-80.06785,Zappala,15,61.2,26,41,0,67,38.8,61.2,0.0
Stowe Ward 2 Dist 1,40.4757,-80.07245,Zappala,4,60.0,8,12,0,20,40.0,60.0,0.0
Stowe Ward 2 Dist 2,40.479600000000005,-80.0769,Dugan,5,52.4,55,50,0,105,52.4,47.6,0.0
Stowe Ward 3,40.482150000000004,-80.0618,Zappala,25,68.1,22,47,0,69,31.9,68.1,0.0
Stowe Ward 4 Dist 1,40.4896,-80.08160000000001,Dugan,1,50.6,42,41,0,83,50.6,49.4,0.0
Stowe Ward 4 Dist 2,40.486850000000004,-80.0866,Zappala,26,61.6,43,69,0,112,38.4,61.6,0.0
Stowe Ward 5,40.4743,-80.08030000000001,Zappala,4,52.9,33,37,0,70,47.1,52.9,0.0
Stowe Ward 6,40.47165,-80.07745,Dugan,6,55.8,29,23,0,52,55.8,44.2,0.0
Stowe Ward 7,40.474450000000004,-80.07575,Zappala,1,52.4,10,11,0,21,47.6,52.4,0.0
Stowe Ward 8,40.472350000000006,-80.07130000000001,Dugan,6,58.8,20,14,0,34,58.8,41.2,0.0
Stowe Ward 9,40.4709,-80.07305000000001,Dugan,3,53.8,21,18,0,39,53.8,46.2,0.0
Swissvale Dist 1,40.416050000000006,-79.87615000000001,Dugan,44,65.3,94,50,0,144,65.3,34.7,0.0
Swissvale Dist 2,40.420100000000005,-79.8794,Dugan,83,77.5,117,34,0,151,77.5,22.5,0.0
Swissvale Dist 3,40.422650000000004,-79.8845,Dugan,66,75.8,97,31,0,128,75.8,24.2,0.0
Swissvale Dist 4,40.42295,-79.87855,Dugan,82,81.1,107,25,0,132,81.1,18.9,0.0
Swissvale Dist 5,40.426050000000004,-79.87785,Dugan,40,62.5,100,60,0,160,62.5,37.5,0.0
Swissvale Dist 6,40.417950000000005,-79.89085,Dugan,17,62.0,44,27,0,71,62.0,38.0,0.0
Swissvale Dist 7,40.42035,-79.89635000000001,Dugan,59,65.3,126,67,0,193,65.3,34.7,0.0
Swissvale Dist 8,40.4259,-79.89145,Dugan,67,68.9,122,55,0,177,68.9,31.1,0.0
Swissvale Dist 9,40.418350000000004,-79.8937,Dugan,16,64.8,35,19,0,54,64.8,35.2,0.0
Swissvale Dist 10,40.415150000000004,-79.88810000000001,Dugan,31,86.0,37,6,0,43,86.0,14.0,0.0
Swissvale Dist 11,40.43095,-79.89465000000001,Dugan,112,73.0,178,66,0,244,73.0,27.0,0.0
Tarentum Ward 1 Dist 1,40.605050000000006,-79.7533,Dugan,0,50.0,36,36,0,72,50.0,50.0,0.0
Tarentum Ward 1 Dist 2,40.607200000000006,-79.75305,Dugan,11,58.2,39,28,0,67,58.2,41.8,0.0
Tarentum Ward 2,40.6007,-79.74940000000001,Zappala,11,57.5,30,42,1,73,41.1,57.5,1.4
Tarentum Ward 3 Dist 1,40.59955,-79.76945,Zappala,10,70.8,7,17,0,24,29.2,70.8,0.0
Tarentum Ward 3 Dist 2,40.6061,-79.7642,Zappala,15,60.9,27,42,0,69,39.1,60.9,0.0
Thornburg,40.434200000000004,-80.08405,Dugan,3,51.4,55,52,0,107,51.4,48.6,0.0
Pennsbury Vill,40.42805,-80.10115,Zappala,2,50.9,56,58,0,114,49.1,50.9,0.0
Trafford,40.38875,-79.75845000000001,Dugan,0,50.0,4,4,0,8,50.0,50.0,0.0
Turtle Creek Ward 1 Dist 1,40.41355,-79.81425000000002,Zappala,32,62.3,49,81,0,130,37.7,62.3,0.0
Turtle Creek Ward 1 Dist 2,40.408150000000006,-79.81525,Dugan,10,62.5,25,15,0,40,62.5,37.5,0.0
Turtle Creek Ward 2 Dist 1,40.404450000000004,-79.82275000000001,Dugan,2,51.0,49,47,0,96,51.0,49.0,0.0
Turtle Creek Ward 2 Dist 2,40.407300000000006,-79.82015000000001,Dugan,8,60.0,24,16,0,40,60.0,40.0,0.0
Turtle Creek Ward 3 Dist 1,40.40885,-79.8263,Dugan,11,58.2,39,28,0,67,58.2,41.8,0.0
Turtle Creek Ward 3 Dist 2,40.41395,-79.81915000000001,Zappala,27,65.2,31,58,0,89,34.8,65.2,0.0
Up St Clair Ward 1 Dist 1,40.34245,-80.08935,Dugan,34,63.3,81,47,0,128,63.3,36.7,0.0
Up St Clair Ward 1 Dist 2,40.34870000000001,-80.09275,Dugan,20,57.8,74,54,0,128,57.8,42.2,0.0
Up St Clair Ward 1 Dist 3,40.357600000000005,-80.0814,Dugan,7,52.2,83,76,0,159,52.2,47.8,0.0
Up St Clair Ward 1 Dist 4,40.35145,-80.0864,Dugan,32,61.9,83,50,1,134,61.9,37.3,0.7
Up St Clair Ward 2 Dist 1,40.351000000000006,-80.0574,Dugan,27,60.2,80,53,0,133,60.2,39.8,0.0
Up St Clair Ward 2 Dist 2,40.3407,-80.07135,Dugan,4,52.0,53,49,0,102,52.0,48.0,0.0
Up St Clair Ward 2 Dist 3,40.35695,-80.06945000000002,Dugan,24,57.3,94,70,0,164,57.3,42.7,0.0
Up St Clair Ward 2 Dist 4,40.3511,-80.06855000000002,Dugan,23,62.9,56,33,0,89,62.9,37.1,0.0
Up St Clair Ward 3 Dist 1,40.33295,-80.06325000000001,Dugan,39,62.0,101,61,1,163,62.0,37.4,0.6
Up St Clair Ward 3 Dist 2,40.3198,-80.0721,Zappala,4,51.7,56,60,0,116,48.3,51.7,0.0
Up St Clair Ward 3 Dist 3,40.33285000000001,-80.0828,Dugan,52,64.9,113,61,0,174,64.9,35.1,0.0
Up St Clair Ward 4 Dist 1,40.341550000000005,-80.10415,Dugan,24,57.6,91,67,0,158,57.6,42.4,0.0
Up St Clair Ward 4 Dist 2,40.324200000000005,-80.08895000000001,Dugan,15,56.5,65,50,0,115,56.5,43.5,0.0
Up St Clair Ward 4 Dist 3,40.31635,-80.09450000000001,Dugan,43,70.5,74,31,0,105,70.5,29.5,0.0
Up St Clair Ward 4 Dist 4,40.322100000000006,-80.10455,Dugan,28,60.6,80,52,0,132,60.6,39.4,0.0
Up St Clair Ward 5 Dist 1,40.31365000000001,-80.0854,Dugan,42,61.2,115,73,0,188,61.2,38.8,0.0
Up St Clair Ward 5 Dist 2,40.323150000000005,-80.0763,Dugan,21,58.1,75,54,0,129,58.1,41.9,0.0
Up St Clair Ward 5 Dist 3,40.3051,-80.0775,Zappala,5,52.0,59,64,0,123,48.0,52.0,0.0
Verona Dist 1,40.503600000000006,-79.84555,Zappala,9,55.2,39,48,0,87,44.8,55.2,0.0
Verona Dist 2,40.50370000000001,-79.8375,Dugan,2,50.9,56,54,0,110,50.9,49.1,0.0
Verona Dist 3,40.5095,-79.83850000000001,Zappala,22,59.3,48,70,0,118,40.7,59.3,0.0
Versailles Dist 1,40.31755,-79.82855,Zappala,12,57.3,34,47,1,82,41.5,57.3,1.2
Versailles Dist 2,40.31895,-79.83505,Zappala,21,63.6,28,49,0,77,36.4,63.6,0.0
Wall,40.39085,-79.78895,Zappala,23,72.5,14,37,0,51,27.5,72.5,0.0
West Deer Dist 1,40.64490000000001,-79.87890000000002,Zappala,29,57.1,87,116,0,203,42.9,57.1,0.0
West Deer Dist 2,40.656850000000006,-79.85075,Zappala,32,70.0,24,56,0,80,30.0,70.0,0.0
West Deer Dist 3,40.6113,-79.8331,Zappala,6,53.1,46,52,0,98,46.9,53.1,0.0
West Deer Dist 4,40.614200000000004,-79.91145,Zappala,33,61.2,57,90,0,147,38.8,61.2,0.0
West Deer Dist 5,40.633750000000006,-79.83435,Zappala,36,68.0,32,68,0,100,32.0,68.0,0.0
West Deer Dist 6,40.611650000000004,-79.8596,Zappala,32,63.1,45,77,0,122,36.9,63.1,0.0
West Deer Dist 7,40.613850000000006,-79.89035000000001,Zappala,59,60.6,109,169,1,279,39.1,60.6,0.4
West Deer Dist 8,40.64105000000001,-79.9024,Zappala,98,66.4,100,198,0,298,33.6,66.4,0.0
W Elizabeth,40.27275,-79.89540000000001,Zappala,16,80.8,5,21,0,26,19.2,80.8,0.0
W Homestead Dist 1,40.399750000000004,-79.91965,Dugan,22,69.6,39,17,0,56,69.6,30.4,0.0
W Homestead Dist 2,40.3942,-79.91220000000001,Zappala,10,59.6,21,31,0,52,40.4,59.6,0.0
W Homestead Dist 3,40.392250000000004,-79.91075000000001,Zappala,36,62.7,52,89,1,142,36.6,62.7,0.7
West Mifflin Dist 1,40.39265,-79.8854,Zappala,33,61.4,55,89,1,145,37.9,61.4,0.7
West Mifflin Dist 2,40.39135,-79.89000000000001,Dugan,41,70.3,71,30,0,101,70.3,29.7,0.0
West Mifflin Dist 3,40.3904,-79.86515,Dugan,12,68.8,22,10,0,32,68.8,31.3,0.0
West Mifflin Dist 4,40.3992,-79.88,Dugan,19,70.2,33,14,0,47,70.2,29.8,0.0
West Mifflin Dist 5,40.38215,-79.87885,Zappala,40,58.6,96,136,0,232,41.4,58.6,0.0
West Mifflin Dist 6,40.3844,-79.88855000000001,Zappala,23,66.2,24,47,0,71,33.8,66.2,0.0
West Mifflin Dist 7,40.36895,-79.86635000000001,Dugan,9,52.7,87,78,0,165,52.7,47.3,0.0
West Mifflin Dist 8,40.35915,-79.8612,Zappala,9,54.5,45,54,0,99,45.5,54.5,0.0
West Mifflin Dist 9,40.36285,-79.85575,Zappala,24,56.3,83,107,0,190,43.7,56.3,0.0
West Mifflin Dist 10,40.35005,-79.91255000000001,Zappala,15,58.2,38,53,0,91,41.8,58.2,0.0
West Mifflin Dist 11,40.35900000000001,-79.90645,Zappala,4,51.6,60,64,0,124,48.4,51.6,0.0
West Mifflin Dist 12,40.333800000000004,-79.90975,Zappala,14,54.3,75,89,0,164,45.7,54.3,0.0
West Mifflin Dist 13,40.365750000000006,-79.87960000000001,Dugan,15,57.0,61,46,0,107,57.0,43.0,0.0
West Mifflin Dist 14,40.37115,-79.8987,Zappala,33,57.5,92,126,1,219,42.0,57.5,0.5
West Mifflin Dist 15,40.393950000000004,-79.87805,Dugan,3,51.2,63,60,0,123,51.2,48.8,0.0
West Mifflin Dist 16,40.3374,-79.93860000000001,Zappala,65,62.1,102,167,0,269,37.9,62.1,0.0
West Mifflin Dist 17,40.36175,-79.9298,Zappala,8,53.2,57,66,1,124,46.0,53.2,0.8
West Mifflin Dist 18,40.36025000000001,-79.87475,Zappala,8,52.2,87,95,0,182,47.8,52.2,0.0
West Mifflin Dist 19,40.34365,-79.92885000000001,Zappala,5,51.9,64,69,0,133,48.1,51.9,0.0
West Mifflin Dist 20,40.3753,-79.87605,Zappala,31,60.4,59,90,0,149,39.6,60.4,0.0
West Mifflin Dist 21,40.3577,-79.9459,Zappala,12,54.4,62,74,0,136,45.6,54.4,0.0
West View Dist 1,40.5136,-80.02655000000001,Dugan,22,60.0,66,44,0,110,60.0,40.0,0.0
West View Dist 2,40.51635,-80.0223,Dugan,20,58.6,68,48,0,116,58.6,41.4,0.0
West View Dist 3,40.5189,-80.02960000000002,Zappala,15,57.4,43,58,0,101,42.6,57.4,0.0
West View Dist 4,40.519800000000004,-80.03505000000001,Dugan,1,50.5,53,51,1,105,50.5,48.6,1.0
West View Dist 5,40.51795,-80.03745,Zappala,13,54.1,73,86,0,159,45.9,54.1,0.0
West View Dist 6,40.517450000000004,-80.04570000000001,Dugan,12,54.7,70,58,0,128,54.7,45.3,0.0
West View Dist 7,40.52535,-80.03550000000001,Dugan,23,57.1,93,70,0,163,57.1,42.9,0.0
Whitaker Dist 1,40.398,-79.8903,Dugan,13,57.1,52,39,0,91,57.1,42.9,0.0
Whitaker Dist 2,40.402950000000004,-79.88425000000001,Zappala,4,52.7,35,39,0,74,47.3,52.7,0.0
Whitehall Dist 1,40.36585,-79.98960000000001,Zappala,9,53.3,63,72,0,135,46.7,53.3,0.0
Whitehall Dist 2,40.35555000000001,-80.0062,Zappala,13,55.6,52,65,0,117,44.4,55.6,0.0
Whitehall Dist 3,40.3558,-79.98435,Zappala,0,50.0,71,72,1,144,49.3,50.0,0.7
Whitehall Dist 4,40.3483,-79.98025000000001,Dugan,4,51.4,74,70,0,144,51.4,48.6,0.0
Whitehall Dist 5,40.36330000000001,-79.97465000000001,Zappala,28,60.0,56,84,0,140,40.0,60.0,0.0
Whitehall Dist 6,40.366550000000004,-79.9642,Dugan,5,53.3,40,35,0,75,53.3,46.7,0.0
Whitehall Dist 7,40.364650000000005,-79.99775,Zappala,12,54.8,57,69,0,126,45.2,54.8,0.0
Whitehall Dist 8,40.35470000000001,-80.0009,Zappala,43,62.4,65,108,0,173,37.6,62.4,0.0
Whitehall Dist 9,40.3599,-79.97220000000002,Zappala,6,53.1,45,51,0,96,46.9,53.1,0.0
Whitehall Dist 10,40.37365,-79.9898,Zappala,12,55.0,53,66,1,120,44.2,55.0,0.8
Whitehall Dist 11,40.35385,-79.9916,Zappala,18,57.5,51,69,0,120,42.5,57.5,0.0
Whitehall Dist 12,40.35575,-79.9761,Zappala,12,55.6,48,60,0,108,44.4,55.6,0.0
Whitehall Dist 13,40.35625,-80.01245,Zappala,9,52.9,72,81,0,153,47.1,52.9,0.0
Whitehall Dist 14,40.36125,-80.00455000000001,Zappala,24,59.7,50,74,0,124,40.3,59.7,0.0
Whitehall Dist 15,40.370400000000004,-80.0009,Zappala,19,54.1,107,126,0,233,45.9,54.1,0.0
Whitehall Dist 16,40.36370000000001,-79.9959,Zappala,11,54.1,62,73,0,135,45.9,54.1,0.0
White Oak Dist 1,40.356700000000004,-79.82130000000001,Zappala,27,61.3,46,73,0,119,38.7,61.3,0.0
White Oak Dist 2,40.349050000000005,-79.8238,Zappala,33,62.2,51,84,0,135,37.8,62.2,0.0
White Oak Dist 3,40.35065,-79.81390000000002,Dugan,3,50.9,83,80,0,163,50.9,49.1,0.0
White Oak Dist 4,40.340050000000005,-79.81505000000001,Zappala,28,58.2,71,99,0,170,41.8,58.2,0.0
White Oak Dist 5,40.3451,-79.80890000000001,Zappala,31,59.0,71,102,0,173,41.0,59.0,0.0
White Oak Dist 6,40.34230000000001,-79.79395,Dugan,2,51.7,31,29,0,60,51.7,48.3,0.0
White Oak Dist 7,40.3263,-79.80115,Zappala,27,58.2,69,96,0,165,41.8,58.2,0.0
Wilkins Ward 1 Dist 1,40.42025,-79.82895,Dugan,14,55.6,69,55,0,124,55.6,44.4,0.0
Wilkins Ward 1 Dist 2,40.425050000000006,-79.82155,Dugan,21,56.2,95,74,0,169,56.2,43.8,0.0
Wilkins Ward 1 Dist 3,40.43745,-79.8187,Dugan,45,61.1,124,79,0,203,61.1,38.9,0.0
Wilkins Ward 1 Dist 4,40.43575,-79.80850000000001,Dugan,5,51.8,72,67,0,139,51.8,48.2,0.0
Wilkins Ward 1 Dist 5,40.42775,-79.81150000000001,Dugan,34,66.7,68,34,0,102,66.7,33.3,0.0
Wilkins Ward 2 Dist 1,40.4251,-79.84095,Zappala,4,51.8,55,59,0,114,48.2,51.8,0.0
Wilkins Ward 2 Dist 2,40.41460000000001,-79.83725000000001,Dugan,9,52.4,100,91,0,191,52.4,47.6,0.0
Wilkinsburg Ward 1 Dist 1,40.45125,-79.863,Dugan,86,78.3,119,31,2,152,78.3,20.4,1.3
Wilkinsburg Ward 1 Dist 2,40.445350000000005,-79.87125,Dugan,48,77.9,67,19,0,86,77.9,22.1,0.0
Wilkinsburg Ward 1 Dist 3,40.446250000000006,-79.8735,Dugan,30,73.4,47,17,0,64,73.4,26.6,0.0
Wilkinsburg Ward 1 Dist 4,40.45425,-79.86125000000001,Dugan,110,79.6,148,36,2,186,79.6,19.4,1.1
Wilkinsburg Ward 1 Dist 5,40.44855,-79.85805000000002,Dugan,75,76.6,108,33,0,141,76.6,23.4,0.0
Wilkinsburg Ward 1 Dist 6,40.44465000000001,-79.86635000000001,Dugan,95,80.3,126,31,0,157,80.3,19.7,0.0
Wilkinsburg Ward 2 Dist 1,40.43665,-79.8689,Dugan,67,74.5,102,35,0,137,74.5,25.5,0.0
Wilkinsburg Ward 2 Dist 2,40.44095,-79.8664,Dugan,106,70.2,184,78,0,262,70.2,29.8,0.0
Wilkinsburg Ward 2 Dist 3,40.435900000000004,-79.87405000000001,Dugan,56,78.6,77,21,0,98,78.6,21.4,0.0
Wilkinsburg Ward 2 Dist 4,40.44070000000001,-79.87705,Dugan,18,68.8,33,15,0,48,68.8,31.3,0.0
Wilkinsburg Ward 2 Dist 5,40.440400000000004,-79.8842,Dugan,100,85.7,120,20,0,140,85.7,14.3,0.0
Wilkinsburg Ward 3 Dist 1,40.43615,-79.8927,Dugan,138,78.8,189,51,0,240,78.8,21.3,0.0
Wilkinsburg Ward 3 Dist 2,40.438,-79.88845,Dugan,88,76.2,128,40,0,168,76.2,23.8,0.0
Wilkinsburg Ward 3 Dist 3,40.44605000000001,-79.88060000000002,Dugan,53,73.9,82,28,1,111,73.9,25.2,0.9
Wilkinsburg Ward 3 Dist 4,40.440850000000005,-79.8913,Dugan,156,85.8,187,31,0,218,85.8,14.2,0.0
Wilkinsburg Ward 3 Dist 5,40.4452,-79.89015,Dugan,111,83.2,139,28,0,167,83.2,16.8,0.0
Wilkinsburg Ward 3 Dist 6,40.4465,-79.88425000000001,Dugan,40,82.3,51,11,0,62,82.3,17.7,0.0
Wilmerding Dist 1,40.39805,-79.81005,Zappala,8,58.7,19,27,0,46,41.3,58.7,0.0
Wilmerding Dist 2,40.39240000000001,-79.80945000000001,Zappala,31,65.7,34,65,0,99,34.3,65.7,0.0
McKeesport Ward 1,40.35255,-79.86770000000001,,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 18 Dist 11,40.4203,-79.99165,,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 25 Dist 3,40.45795,-80.01410000000001,,0,0,0,0,0,0,0,0,0
