precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Innamorato_total,Weinstein_total,Lamb_total,Fawcett_total,Colaizzi_total,Parker_total,Write-in_total,precinct_total,Innamorato_pct,Weinstein_pct,Lamb_pct,Fawcett_pct,Colaizzi_pct,Parker_pct,Write-in_pct
Whitehall Dist 7,40.364650000000005,-79.99775,Weinstein,21,39.0,27,48,26,17,5,0,0,123,22.0,39.0,21.1,13.8,4.1,0.0,0.0
Whitehall Dist 8,40.35470000000001,-80.0009,Weinstein,35,46.6,46,81,20,21,6,0,0,174,26.4,46.6,11.5,12.1,3.4,0.0,0.0
Whitehall Dist 9,40.3599,-79.97220000000002,Weinstein,10,40.8,30,40,17,10,1,0,0,98,30.6,40.8,17.3,10.2,1.0,0.0,0.0
Whitehall Dist 10,40.37365,-79.9898,Weinstein,16,37.7,30,46,23,19,3,0,1,122,24.6,37.7,18.9,15.6,2.5,0.0,0.8
Whitehall Dist 11,40.35385,-79.9916,Weinstein,30,46.7,26,56,24,10,4,0,0,120,21.7,46.7,20.0,8.3,3.3,0.0,0.0
Whitehall Dist 12,40.35575,-79.9761,Weinstein,13,36.9,26,41,28,14,1,1,0,111,23.4,36.9,25.2,12.6,0.9,0.9,0.0
Whitehall Dist 13,40.35625,-80.01245,Lamb,7,34.2,45,40,52,12,3,0,0,152,29.6,26.3,34.2,7.9,2.0,0.0,0.0
Whitehall Dist 14,40.36125,-80.00455000000001,Weinstein,12,36.8,33,46,34,12,0,0,0,125,26.4,36.8,27.2,9.6,0.0,0.0,0.0
Whitehall Dist 15,40.370400000000004,-80.0009,Weinstein,26,38.6,49,91,65,25,6,0,0,236,20.8,38.6,27.5,10.6,2.5,0.0,0.0
Whitehall Dist 16,40.36370000000001,-79.9959,Lamb,2,33.8,35,45,47,10,2,0,0,139,25.2,32.4,33.8,7.2,1.4,0.0,0.0
White Oak Dist 1,40.356700000000004,-79.82130000000001,Weinstein,11,38.1,34,45,15,19,3,2,0,118,28.8,38.1,12.7,16.1,2.5,1.7,0.0
White Oak Dist 2,40.349050000000005,-79.8238,Weinstein,39,51.5,30,69,14,13,5,3,0,134,22.4,51.5,10.4,9.7,3.7,2.2,0.0
White Oak Dist 3,40.35065,-79.81390000000002,Weinstein,20,40.5,46,66,31,16,2,2,0,163,28.2,40.5,19.0,9.8,1.2,1.2,0.0
White Oak Dist 4,40.340050000000005,-79.81505000000001,Weinstein,25,37.6,40,65,27,38,3,0,0,173,23.1,37.6,15.6,22.0,1.7,0.0,0.0
White Oak Dist 5,40.3451,-79.80890000000001,Weinstein,21,38.1,48,69,34,24,5,1,0,181,26.5,38.1,18.8,13.3,2.8,0.6,0.0
White Oak Dist 6,40.34230000000001,-79.79395,Weinstein,12,32.5,25,37,25,21,6,0,0,114,21.9,32.5,21.9,18.4,5.3,0.0,0.0
White Oak Dist 7,40.3263,-79.80115,Weinstein,32,42.3,39,71,31,18,7,2,0,168,23.2,42.3,18.5,10.7,4.2,1.2,0.0
Wilkins Ward 1 Dist 1,40.42025,-79.82895,Innamorato,4,33.3,42,38,19,21,2,4,0,126,33.3,30.2,15.1,16.7,1.6,3.2,0.0
Wilkins Ward 1 Dist 2,40.425050000000006,-79.82155,Innamorato,14,36.5,62,48,22,33,4,1,0,170,36.5,28.2,12.9,19.4,2.4,0.6,0.0
Wilkins Ward 1 Dist 3,40.43745,-79.8187,Innamorato,27,39.6,80,53,39,19,6,5,0,202,39.6,26.2,19.3,9.4,3.0,2.5,0.0
Wilkins Ward 1 Dist 4,40.43575,-79.80850000000001,Weinstein,8,39.0,47,55,21,12,4,2,0,141,33.3,39.0,14.9,8.5,2.8,1.4,0.0
Wilkins Ward 1 Dist 5,40.42775,-79.81150000000001,Innamorato,0,28.8,30,25,30,11,1,7,0,104,28.8,24.0,28.8,10.6,1.0,6.7,0.0
Wilkins Ward 2 Dist 1,40.4251,-79.84095,Weinstein,6,35.0,35,41,27,10,3,1,0,117,29.9,35.0,23.1,8.5,2.6,0.9,0.0
Wilkins Ward 2 Dist 2,40.41460000000001,-79.83725000000001,Weinstein,10,37.8,63,73,39,10,4,4,0,193,32.6,37.8,20.2,5.2,2.1,2.1,0.0
Wilkinsburg Ward 1 Dist 1,40.45125,-79.863,Innamorato,52,55.6,84,32,21,9,2,3,0,151,55.6,21.2,13.9,6.0,1.3,2.0,0.0
Wilkinsburg Ward 1 Dist 2,40.445350000000005,-79.87125,Innamorato,31,51.7,46,15,15,6,2,5,0,89,51.7,16.9,16.9,6.7,2.2,5.6,0.0
Wilkinsburg Ward 1 Dist 3,40.446250000000006,-79.8735,Innamorato,12,44.3,27,15,11,4,0,4,0,61,44.3,24.6,18.0,6.6,0.0,6.6,0.0
Wilkinsburg Ward 1 Dist 4,40.45425,-79.86125000000001,Innamorato,80,58.1,111,31,25,17,3,4,0,191,58.1,16.2,13.1,8.9,1.6,2.1,0.0
Wilkinsburg Ward 1 Dist 5,40.44855,-79.85805000000002,Innamorato,43,51.7,74,24,31,11,2,1,0,143,51.7,16.8,21.7,7.7,1.4,0.7,0.0
Wilkinsburg Ward 1 Dist 6,40.44465000000001,-79.86635000000001,Innamorato,27,40.0,62,28,35,16,6,8,0,155,40.0,18.1,22.6,10.3,3.9,5.2,0.0
Wilkinsburg Ward 2 Dist 1,40.43665,-79.8689,Innamorato,19,39.1,54,35,28,11,6,4,0,138,39.1,25.4,20.3,8.0,4.3,2.9,0.0
Wilkinsburg Ward 2 Dist 2,40.44095,-79.8664,Innamorato,47,41.5,110,63,42,33,8,9,0,265,41.5,23.8,15.8,12.5,3.0,3.4,0.0
Wilkinsburg Ward 2 Dist 3,40.435900000000004,-79.87405000000001,Innamorato,15,40.0,38,17,23,5,3,9,0,95,40.0,17.9,24.2,5.3,3.2,9.5,0.0
Wilkinsburg Ward 2 Dist 4,40.44070000000001,-79.87705,Innamorato,9,47.9,23,14,8,1,1,1,0,48,47.9,29.2,16.7,2.1,2.1,2.1,0.0
Wilkinsburg Ward 2 Dist 5,40.440400000000004,-79.8842,Innamorato,81,72.3,102,10,21,5,1,2,0,141,72.3,7.1,14.9,3.5,0.7,1.4,0.0
Wilkinsburg Ward 3 Dist 1,40.43615,-79.8927,Innamorato,111,63.4,154,27,43,15,3,0,1,243,63.4,11.1,17.7,6.2,1.2,0.0,0.4
Wilkinsburg Ward 3 Dist 2,40.438,-79.88845,Innamorato,85,68.4,119,16,34,2,1,2,0,174,68.4,9.2,19.5,1.1,0.6,1.1,0.0
Wilkinsburg Ward 3 Dist 3,40.44605000000001,-79.88060000000002,Innamorato,31,48.2,54,23,15,7,3,10,0,112,48.2,20.5,13.4,6.3,2.7,8.9,0.0
Wilkinsburg Ward 3 Dist 4,40.440850000000005,-79.8913,Innamorato,136,73.5,161,25,13,16,1,3,0,219,73.5,11.4,5.9,7.3,0.5,1.4,0.0
Wilkinsburg Ward 3 Dist 5,40.4452,-79.89015,Innamorato,112,74.6,126,12,14,8,3,6,0,169,74.6,7.1,8.3,4.7,1.8,3.6,0.0
Wilkinsburg Ward 3 Dist 6,40.4465,-79.88425000000001,Innamorato,27,59.7,40,3,13,3,3,5,0,67,59.7,4.5,19.4,4.5,4.5,7.5,0.0
Wilmerding Dist 1,40.39805,-79.81005,Innamorato,5,36.2,17,12,5,9,2,2,0,47,36.2,25.5,10.6,19.1,4.3,4.3,0.0
Wilmerding Dist 2,40.39240000000001,-79.80945000000001,Weinstein,17,41.8,24,41,18,13,1,1,0,98,24.5,41.8,18.4,13.3,1.0,1.0,0.0
McKeesport Ward 1,40.35255,-79.86770000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
