precinct_name,dem_total,rep_total,wi_total,precinct_total,dem_pct,rep_pct,wi_pct
Aspinwall Dist 1,440,172,0,612,71.9,28.1,0.0
Aspinwall Dist 2,268,108,2,378,70.9,28.6,0.5
Aspinwall Dist 3,419,177,1,597,70.2,29.6,0.2
Blawnox,381,215,2,598,63.7,36.0,0.3
Brackenridge Ward 1,139,124,0,263,52.9,47.1,0.0
Brackenridge Ward 2,238,222,1,461,51.6,48.2,0.2
Brackenridge Ward 3,156,195,2,353,44.2,55.2,0.6
Cheswick Dist 1,216,208,3,427,50.6,48.7,0.7
Cheswick Dist 2,247,230,0,477,51.8,48.2,0.0
East Deer Ward 1,97,80,0,177,54.8,45.2,0.0
East Deer Ward 2,159,193,1,353,45.0,54.7,0.3
Fawn Dist 1,119,246,0,365,32.6,67.4,0.0
Fawn Dist 2,214,399,1,614,34.9,65.0,0.2
Fox Chapel Dist 1,367,258,0,625,58.7,41.3,0.0
Fox Chapel Dist 2,429,296,1,726,59.1,40.8,0.1
Fox Chapel Dist 3,351,222,0,573,61.3,38.7,0.0
Fox Chapel Dist 4,563,307,2,872,64.6,35.2,0.2
Fox Chapel Dist 5,335,343,0,678,49.4,50.6,0.0
Frazer,190,329,2,521,36.5,63.1,0.4
Harmar Dist 1,420,444,1,865,48.6,51.3,0.1
Harmar Dist 2,184,189,1,374,49.2,50.5,0.3
Harmar Dist 3,113,131,0,244,46.3,53.7,0.0
Harrison Ward 1 Dist 1,82,126,4,212,38.7,59.4,1.9
Harrison Ward 1 Dist 2,224,211,0,435,51.5,48.5,0.0
Harrison Ward 1 Dist 3,217,241,0,458,47.4,52.6,0.0
Harrison Ward 2 Dist 1,95,107,0,202,47.0,53.0,0.0
Harrison Ward 2 Dist 2,136,133,0,269,50.6,49.4,0.0
Harrison Ward 3 Dist 1,360,386,3,749,48.1,51.5,0.4
Harrison Ward 3 Dist 2,223,226,4,453,49.2,49.9,0.9
Harrison Ward 4 Dist 1,193,265,1,459,42.0,57.7,0.2
Harrison Ward 4 Dist 2,159,203,0,362,43.9,56.1,0.0
Harrison Ward 5 Dist 1,147,81,0,228,64.5,35.5,0.0
Harrison Ward 5 Dist 2,206,276,0,482,42.7,57.3,0.0
Indiana Dist 1,319,306,0,625,51.0,49.0,0.0
Indiana Dist 2,288,312,1,601,47.9,51.9,0.2
Indiana Dist 3,473,468,1,942,50.2,49.7,0.1
Indiana Dist 4,460,366,1,827,55.6,44.3,0.1
Indiana Dist 5,363,304,1,668,54.3,45.5,0.1
O'Hara Ward 1 Dist 1,436,261,2,699,62.4,37.3,0.3
O'Hara Ward 1 Dist 2,285,148,1,434,65.7,34.1,0.2
O'Hara Ward 2 Dist 1,295,158,1,454,65.0,34.8,0.2
O'Hara Ward 2 Dist 2,395,268,2,665,59.4,40.3,0.3
O'Hara Ward 3 Dist 1,292,179,1,472,61.9,37.9,0.2
O'Hara Ward 3 Dist 2,216,172,3,391,55.2,44.0,0.8
O'Hara Ward 4 Dist 1,279,119,0,398,70.1,29.9,0.0
O'Hara Ward 4 Dist 2,439,163,1,603,72.8,27.0,0.2
O'Hara Ward 5 Dist 1,352,218,1,571,61.6,38.2,0.2
O'Hara Ward 5 Dist 2,450,194,2,646,69.7,30.0,0.3
Sharpsburg Dist 1,207,96,1,304,68.1,31.6,0.3
Sharpsburg Dist 2,299,116,2,417,71.7,27.8,0.5
Sharpsburg Dist 3,271,197,0,468,57.9,42.1,0.0
Springdale Br Dist 1,207,194,0,401,51.6,48.4,0.0
Springdale Br Dist 2,189,222,0,411,46.0,54.0,0.0
Springdale Br Dist 3,182,146,1,329,55.3,44.4,0.3
Springdale Br Dist 4,146,129,1,276,52.9,46.7,0.4
Springdale Twp,381,429,1,811,47.0,52.9,0.1
Tarentum Ward 1 Dist 1,144,149,5,298,48.3,50.0,1.7
Tarentum Ward 1 Dist 2,168,132,1,301,55.8,43.9,0.3
Tarentum Ward 2,131,121,3,255,51.4,47.5,1.2
Tarentum Ward 3 Dist 1,68,63,0,131,51.9,48.1,0.0
Tarentum Ward 3 Dist 2,123,147,0,270,45.6,54.4,0.0
