precinct_name,dem_total,rep_total,wi_total,precinct_total,dem_pct,rep_pct,wi_pct
Aspinwall Dist 1,109,9,0,118,92.4,7.6,0.0
Aspinwall Dist 2,266,106,2,374,71.1,28.3,0.5
Aspinwall Dist 3,409,176,1,586,69.8,30.0,0.2
Blawnox,371,209,2,582,63.7,35.9,0.3
Brackenridge Ward 1,37,8,0,45,82.2,17.8,0.0
Brackenridge Ward 2,76,23,0,99,76.8,23.2,0.0
Brackenridge Ward 3,154,193,2,349,44.1,55.3,0.6
Cheswick Dist 1,70,22,0,92,76.1,23.9,0.0
Cheswick Dist 2,80,24,0,104,76.9,23.1,0.0
East Deer Ward 1,96,80,0,176,54.5,45.5,0.0
East Deer Ward 2,55,23,0,78,70.5,29.5,0.0
Fawn Dist 1,37,26,0,63,58.7,41.3,0.0
Fawn Dist 2,208,396,1,605,34.4,65.5,0.2
Fox Chapel Dist 1,361,254,0,615,58.7,41.3,0.0
Fox Chapel Dist 2,150,41,0,191,78.5,21.5,0.0
Fox Chapel Dist 3,142,32,0,174,81.6,18.4,0.0
Fox Chapel Dist 4,229,45,2,276,83.0,16.3,0.7
Fox Chapel Dist 5,140,59,0,199,70.4,29.6,0.0
Frazer,187,325,2,514,36.4,63.2,0.4
Harmar Dist 1,216,90,1,307,70.4,29.3,0.3
Harmar Dist 2,177,187,1,365,48.5,51.2,0.3
Harmar Dist 3,111,130,0,241,46.1,53.9,0.0
Harrison Ward 1 Dist 1,21,10,0,31,67.7,32.3,0.0
Harrison Ward 1 Dist 2,90,32,0,122,73.8,26.2,0.0
Harrison Ward 1 Dist 3,60,23,0,83,72.3,27.7,0.0
Harrison Ward 2 Dist 1,35,8,0,43,81.4,18.6,0.0
Harrison Ward 2 Dist 2,40,12,0,52,76.9,23.1,0.0
Harrison Ward 3 Dist 1,159,38,0,197,80.7,19.3,0.0
Harrison Ward 3 Dist 2,221,226,4,451,49.0,50.1,0.9
Harrison Ward 4 Dist 1,189,264,1,454,41.6,58.1,0.2
Harrison Ward 4 Dist 2,64,17,0,81,79.0,21.0,0.0
Harrison Ward 5 Dist 1,55,12,0,67,82.1,17.9,0.0
Harrison Ward 5 Dist 2,66,26,0,92,71.7,28.3,0.0
Indiana Dist 1,307,303,0,610,50.3,49.7,0.0
Indiana Dist 2,287,309,1,597,48.1,51.8,0.2
Indiana Dist 3,190,61,0,251,75.7,24.3,0.0
Indiana Dist 4,179,35,0,214,83.6,16.4,0.0
Indiana Dist 5,137,34,1,172,79.7,19.8,0.6
O'Hara Ward 1 Dist 1,203,46,1,250,81.2,18.4,0.4
O'Hara Ward 1 Dist 2,104,23,0,127,81.9,18.1,0.0
O'Hara Ward 2 Dist 1,112,19,0,131,85.5,14.5,0.0
O'Hara Ward 2 Dist 2,159,51,2,212,75.0,24.1,0.9
O'Hara Ward 3 Dist 1,99,16,0,115,86.1,13.9,0.0
O'Hara Ward 3 Dist 2,79,13,1,93,84.9,14.0,1.1
O'Hara Ward 4 Dist 1,267,119,0,386,69.2,30.8,0.0
O'Hara Ward 4 Dist 2,190,17,1,208,91.3,8.2,0.5
O'Hara Ward 5 Dist 1,167,32,0,199,83.9,16.1,0.0
O'Hara Ward 5 Dist 2,189,28,0,217,87.1,12.9,0.0
Sharpsburg Dist 1,202,95,1,298,67.8,31.9,0.3
Sharpsburg Dist 2,80,10,0,90,88.9,11.1,0.0
Sharpsburg Dist 3,82,17,0,99,82.8,17.2,0.0
Springdale Br Dist 1,70,12,0,82,85.4,14.6,0.0
Springdale Br Dist 2,68,20,0,88,77.3,22.7,0.0
Springdale Br Dist 3,180,145,1,326,55.2,44.5,0.3
Springdale Br Dist 4,142,128,1,271,52.4,47.2,0.4
Springdale Twp,149,41,0,190,78.4,21.6,0.0
Tarentum Ward 1 Dist 1,39,5,0,44,88.6,11.4,0.0
Tarentum Ward 1 Dist 2,44,9,0,53,83.0,17.0,0.0
Tarentum Ward 2,54,9,0,63,85.7,14.3,0.0
Tarentum Ward 3 Dist 1,19,5,0,24,79.2,20.8,0.0
Tarentum Ward 3 Dist 2,33,7,0,40,82.5,17.5,0.0
